matchID,teamID,Goal,X,Y,C,Angle,Distance
350.0,Liverpool,0,14.099999999999994,64.2,14.200000000000003,0.3565184410975577,17.44651612786919
350.0,Liverpool,0,23.200000000000003,30.7,19.3,0.23726425217830616,27.40048585335669
350.0,Liverpool,0,4.700000000000003,52.6,2.6000000000000014,1.2055337538852453,5.216351694431658
350.0,Burnley,0,17.200000000000003,31.6,18.4,0.28228659546480694,21.661144937421938
350.0,Liverpool,0,13.0,74.0,24.0,0.2355657499255266,20.728784334832568
350.0,Liverpool,0,7.799999999999997,50.6,0.6000000000000014,0.8391170164110351,8.199280456235165
350.0,Burnley,0,8.400000000000006,40.0,10.0,0.5443698391280956,10.956386265553077
350.0,Liverpool,0,7.099999999999994,38.9,11.100000000000001,0.5248908238353532,10.37464457222511
350.0,Liverpool,0,9.099999999999994,57.7,7.700000000000003,0.5967443644353316,10.786475327928022
350.0,Liverpool,0,27.700000000000003,69.9,19.900000000000006,0.2097995474436723,31.831610860903666
350.0,Burnley,0,8.0,30.7,19.3,0.2791201769882129,15.097583415898056
350.0,Burnley,0,20.400000000000006,67.8,17.799999999999997,0.2643348209053959,24.34504672412851
350.0,Burnley,0,24.799999999999997,29.5,20.5,0.22256672666247865,29.251277322537554
350.0,Liverpool,0,11.099999999999994,45.6,4.399999999999999,0.5785766315906592,12.000776016574921
350.0,Liverpool,0,7.099999999999994,27.0,23.0,0.20257926300079043,16.705673437488233
350.0,Liverpool,0,9.700000000000003,47.6,2.3999999999999986,0.6769481932317651,10.30377722002956
350.0,Liverpool,0,10.099999999999994,50.1,0.10000000000000142,0.6646212666099764,10.60519919662049
350.0,Liverpool,1,12.799999999999997,47.0,3.0,0.5219771231732888,13.58072531200009
350.0,Burnley,0,13.299999999999997,68.4,18.400000000000006,0.3050308720539442,18.38648484621245
350.0,Liverpool,0,9.099999999999994,35.5,14.5,0.39719312611642926,13.421201511042144
350.0,Liverpool,1,8.0,47.8,2.200000000000003,0.8042753820465468,8.520850896477416
350.0,Liverpool,0,23.0,40.3,9.700000000000003,0.2822571522512926,24.95947765879727
350.0,Burnley,0,19.700000000000003,42.5,7.5,0.3326654754394426,21.251702284758277
350.0,Burnley,0,8.799999999999997,48.2,1.7999999999999972,0.7448912652101498,9.313780113358911
350.0,Liverpool,0,13.099999999999994,49.1,0.8999999999999986,0.5192803627060547,13.767434401514315
350.0,Burnley,0,1.7999999999999972,57.5,7.5,0.7815343640058151,5.228549033909885
350.0,Liverpool,0,24.200000000000003,54.4,4.399999999999999,0.28264638212522136,25.57044583107616
350.0,Burnley,0,3.799999999999997,61.6,11.600000000000001,0.45714252027000346,8.530633036299239
350.0,Liverpool,0,23.5,55.1,5.100000000000001,0.28946814390021663,24.896683514074724
350.0,Liverpool,1,10.5,66.2,16.200000000000003,0.3530127135833035,15.245705132921865
